session_id,user_id,genre,timestamp,session_min,engagement_rate,game_completion,fps,lag_event
b95072b0-a688-4d10-8ab3-a30b1281ee44,USER_07297,Action,2025-05-21 07:14,57.3,0.898,0.631,83.1,False
9b556da1-3231-4383-9859-8bca26ad5aef,USER_09145,Action,2025-12-13 23:57,33.4,0.693,0.551,77.5,False
e43d806f-1d67-43ef-84a3-cb1ae0c5f266,USER_35742,Action,2025-10-30 13:02,93.0,0.403,0.756,82.6,False
3c14f9f6-efbd-4820-9c8f-c0142a9d53ee,USER_01953,Action,2025-04-22 07:32,26.8,0.64,0.707,76.6,False
179bacec-9b13-4650-9be7-f3b1bc06aef1,USER_39454,Action,2025-10-15 06:45,64.7,0.9,0.665,68.0,False
d8ec5388-39fb-4596-a4d8-ad1a73862dda,USER_35714,Multiplayer,2025-04-23 14:37,59.8,0.91,0.673,73.5,False
b32acdb6-9f36-4e91-a47c-4db6a371258a,USER_18232,Action,2025-03-23 22:27,67.1,0.936,0.432,77.7,False
ce931653-b7f2-48f8-9fb5-72aa42db011a,USER_22299,Simulation,2025-03-21 06:48,36.6,0.756,0.635,77.9,False
339636d9-bbd0-4d8a-9a8e-a974d4be7a2e,USER_22060,Action,2025-02-17 12:06,29.8,0.655,0.577,76.4,False
2e20a88c-f9e9-4027-8cdc-94caa09735c9,USER_23527,Simulation,2025-11-06 08:51,39.3,0.699,0.846,71.6,False
fa3b85ed-8d23-4072-a7e3-8455a5b6e472,USER_02848,Multiplayer,2025-10-02 03:59,41.2,0.903,0.761,61.6,False
cf0993e8-891a-4db1-8054-f63186b00bdd,USER_24808,Action,2025-10-10 09:53,47.0,0.767,0.517,81.0,False
3f51b2b4-9e9f-4fe1-b942-1a58902578ba,USER_23701,Adventure,2025-12-27 02:02,90.1,0.793,0.425,82.0,False
c9f38c44-6405-4882-bce6-20b9dca22f34,USER_14936,Simulation,2025-02-10 07:55,61.8,0.814,0.849,72.4,False
ba97f094-3c69-4e53-be3e-efaa2c84d788,USER_06620,Multiplayer,2025-05-23 14:40,67.1,0.438,0.931,84.5,False
2af96892-222d-4f3b-a8a2-4a26d0b8ff42,USER_23910,Adventure,2025-07-09 11:13,60.9,0.814,0.319,78.8,False
5fef5e32-1510-475a-9819-d01b00b74686,USER_17497,Action,2025-11-08 20:10,27.5,0.73,0.843,76.2,False
48e360d6-2ca9-48b4-beb4-34c386ad55a3,USER_35006,Adventure,2025-03-25 14:24,69.4,0.752,0.691,68.1,False
7c3f67c5-5b18-4c68-a0c4-2a10bdfe18d3,USER_17692,Adventure,2025-12-17 10:53,26.2,0.82,0.764,81.2,False
f2cdac1e-396d-49a2-8597-7d2a7153a283,USER_03666,Adventure,2025-01-17 10:25,28.1,0.705,0.668,65.9,False
1db6421b-d3bc-47b4-87e6-07d2e05f9692,USER_17547,Action,2025-04-19 18:56,76.8,0.732,0.563,82.0,False
13e65893-0640-4237-b824-201a8d9b8936,USER_20623,Adventure,2025-12-02 15:25,87.0,0.866,0.769,75.7,False
8bba3b56-52bf-4ce0-9b40-b27d062849ef,USER_30072,Adventure,2025-05-16 04:15,63.0,0.776,0.52,64.8,False
9bee7da7-da23-4b19-bdc3-85927a5c9841,USER_36790,Simulation,2025-10-27 13:57,147.6,0.984,0.764,74.1,False
b3716a69-c35b-4686-a9c6-0924ba006072,USER_38243,Multiplayer,2025-07-05 07:08,57.5,0.863,0.47,85.1,False
9d7c98d8-f6b0-478a-972c-704646cd2e0f,USER_33393,Multiplayer,2025-02-16 01:55,54.0,0.966,0.517,81.2,False
97500458-15d6-44a3-b61d-6a8e15a8f9d0,USER_07186,Adventure,2025-11-18 05:50,10.0,0.949,0.492,71.3,False
516f4f82-12af-4973-b91d-339d35a5d8fb,USER_27667,Action,2025-07-17 12:38,54.7,0.807,0.55,80.3,False
a7f86676-8053-4ab5-94a8-84a132a3a665,USER_30675,Simulation,2025-10-11 00:43,129.9,0.486,0.695,76.7,False
c1c9893e-96ff-444f-8425-7e3106265fa9,USER_07508,Simulation,2025-11-25 10:07,32.7,0.609,0.778,70.5,False
d336db41-515d-4d1d-99d8-1b47211c9b14,USER_19235,Multiplayer,2025-03-22 14:00,44.2,0.863,0.557,71.5,False
3af0174f-a4eb-40b3-877d-b15c7158ea32,USER_17262,Adventure,2025-09-17 03:55,45.0,0.751,0.555,74.0,False
186102d8-5b90-493b-a76d-d2dd3f973062,USER_19559,Adventure,2025-03-20 11:48,29.7,0.765,0.601,74.9,False
98928cce-f8db-41c5-8958-af1c61638179,USER_10588,Action,2025-11-03 10:31,38.3,0.776,0.535,70.9,False
2bf51a93-5dd8-4e73-82d2-ff2b52470813,USER_01277,Action,2025-07-05 09:15,35.3,0.631,0.683,85.9,False
fe00e2c6-d2cd-42fc-b67d-13af7caaab38,USER_03797,Adventure,2025-10-18 02:05,16.1,0.862,0.466,68.4,False
23f6fca3-f2e1-4baa-abc3-da1b7f79d936,USER_31850,Action,2025-09-30 04:08,42.3,0.841,0.673,82.9,False
4f22eb0a-552d-4f71-88eb-c0ec79526926,USER_31149,Adventure,2025-05-16 16:55,56.6,0.572,0.618,76.5,False
75c0f829-755d-40b4-885c-ae726b59b573,USER_39754,Multiplayer,2025-04-19 17:48,133.6,0.729,0.793,77.9,False
cbaf4f11-0492-437d-9d2a-e16e3175821d,USER_13183,Simulation,2025-07-24 21:41,64.8,0.729,0.402,55.4,False
5d0f637e-db89-45ec-be6a-6e4ce04bbb4c,USER_24473,Multiplayer,2025-09-22 14:07,28.5,0.772,0.732,66.5,False
46743480-6201-4323-88af-81d7334c1eea,USER_16247,Adventure,2025-02-02 10:01,41.6,0.711,0.28,75.9,False
fbd1350b-38ad-4aa6-a02a-daef839bcaaf,USER_38556,Adventure,2025-10-29 07:00,97.1,0.625,0.554,67.3,False
52ff4a09-a31a-43ff-bc40-da2439e7d5e3,USER_04653,Action,2025-04-28 02:57,63.0,0.969,0.506,82.9,False
b2285f12-fc95-43e2-8de1-660fc05c8134,USER_02059,Simulation,2025-02-06 16:15,52.7,0.658,0.579,77.9,False
